src_A_mod64,src_l_mod4,dst_Aplus_mod64,dst_lplus_mod4,count,prob,src_total
0,0,42,2,7,0.026119402985074626,268
0,0,26,2,7,0.026119402985074626,268
0,0,2,0,6,0.022388059701492536,268
0,0,60,2,6,0.022388059701492536,268
0,0,6,2,6,0.022388059701492536,268
0,0,24,2,6,0.022388059701492536,268
0,0,46,0,5,0.018656716417910446,268
0,0,50,0,5,0.018656716417910446,268
0,0,20,0,5,0.018656716417910446,268
0,0,54,2,5,0.018656716417910446,268
0,0,58,1,5,0.018656716417910446,268
0,0,10,2,4,0.014925373134328358,268
0,0,56,2,4,0.014925373134328358,268
0,0,34,2,4,0.014925373134328358,268
0,0,36,0,4,0.014925373134328358,268
0,0,26,0,4,0.014925373134328358,268
0,0,18,3,4,0.014925373134328358,268
0,0,58,3,4,0.014925373134328358,268
0,0,56,0,4,0.014925373134328358,268
0,0,38,2,3,0.011194029850746268,268
0,0,8,3,3,0.011194029850746268,268
0,0,22,1,3,0.011194029850746268,268
0,0,28,3,3,0.011194029850746268,268
0,0,12,0,3,0.011194029850746268,268
0,0,52,2,3,0.011194029850746268,268
0,0,54,1,3,0.011194029850746268,268
0,0,28,2,3,0.011194029850746268,268
0,0,18,0,3,0.011194029850746268,268
0,0,38,0,3,0.011194029850746268,268
0,0,4,2,3,0.011194029850746268,268
0,0,20,2,3,0.011194029850746268,268
0,0,32,0,3,0.011194029850746268,268
0,0,2,2,3,0.011194029850746268,268
0,0,8,1,3,0.011194029850746268,268
0,0,36,2,3,0.011194029850746268,268
0,0,56,1,3,0.011194029850746268,268
0,0,34,0,3,0.011194029850746268,268
0,0,44,2,3,0.011194029850746268,268
0,0,8,2,3,0.011194029850746268,268
0,0,36,3,3,0.011194029850746268,268
0,0,42,0,3,0.011194029850746268,268
0,0,28,0,2,0.007462686567164179,268
0,0,48,0,2,0.007462686567164179,268
0,0,6,3,2,0.007462686567164179,268
0,0,48,1,2,0.007462686567164179,268
0,0,62,2,2,0.007462686567164179,268
0,0,2,3,2,0.007462686567164179,268
0,0,22,2,2,0.007462686567164179,268
0,0,14,1,2,0.007462686567164179,268
0,0,16,1,2,0.007462686567164179,268
0,0,46,1,2,0.007462686567164179,268
0,0,58,0,2,0.007462686567164179,268
0,0,0,0,2,0.007462686567164179,268
0,0,62,3,2,0.007462686567164179,268
0,0,4,3,2,0.007462686567164179,268
0,0,40,0,2,0.007462686567164179,268
0,0,18,2,2,0.007462686567164179,268
0,0,52,0,2,0.007462686567164179,268
0,0,50,3,2,0.007462686567164179,268
0,0,2,1,2,0.007462686567164179,268
0,0,40,1,2,0.007462686567164179,268
0,0,58,2,2,0.007462686567164179,268
0,0,32,1,2,0.007462686567164179,268
0,0,42,3,2,0.007462686567164179,268
0,0,44,0,2,0.007462686567164179,268
0,0,14,2,2,0.007462686567164179,268
0,0,22,0,2,0.007462686567164179,268
0,0,30,2,2,0.007462686567164179,268
0,0,8,0,2,0.007462686567164179,268
0,0,16,3,2,0.007462686567164179,268
0,0,16,0,2,0.007462686567164179,268
0,0,20,1,2,0.007462686567164179,268
0,0,0,2,2,0.007462686567164179,268
0,0,26,3,2,0.007462686567164179,268
0,0,38,1,2,0.007462686567164179,268
0,0,0,1,1,0.0037313432835820895,268
0,0,34,3,1,0.0037313432835820895,268
0,0,62,1,1,0.0037313432835820895,268
0,0,44,3,1,0.0037313432835820895,268
0,0,6,0,1,0.0037313432835820895,268
0,0,56,3,1,0.0037313432835820895,268
0,0,54,3,1,0.0037313432835820895,268
0,0,48,2,1,0.0037313432835820895,268
0,0,14,0,1,0.0037313432835820895,268
0,0,42,1,1,0.0037313432835820895,268
0,0,62,0,1,0.0037313432835820895,268
0,0,18,1,1,0.0037313432835820895,268
0,0,10,0,1,0.0037313432835820895,268
0,0,4,0,1,0.0037313432835820895,268
0,0,48,3,1,0.0037313432835820895,268
0,0,36,1,1,0.0037313432835820895,268
0,0,40,2,1,0.0037313432835820895,268
0,0,24,0,1,0.0037313432835820895,268
0,0,34,1,1,0.0037313432835820895,268
0,0,52,3,1,0.0037313432835820895,268
0,0,50,2,1,0.0037313432835820895,268
0,0,32,2,1,0.0037313432835820895,268
0,0,46,2,1,0.0037313432835820895,268
